127.0.0.1 - - [12/Dec/2017:09:25:39 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:25:53 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:25:53 +0530] "GET /ToDoProject/css/TopNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:25:53 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:25:53 +0530] "GET /ToDoProject/css/SideNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:25:53 +0530] "GET /ToDoProject/css/card.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:25:53 +0530] "GET /ToDoProject/services/homeService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:25:53 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:25:53 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:25:54 +0530] "GET /ToDoProject/htmlpages/Login.html HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:25:55 +0530] "GET /ToDoProject/images/googleimg.svg HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:25:55 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:48 +0530] "POST /ToDoProject/login HTTP/1.1" 202 52
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:49 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 200 7949
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:49 +0530] "GET /ToDoProject/htmlpages/SideNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:49 +0530] "GET /ToDoProject/htmlpages/TopNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:49 +0530] "GET /ToDoProject/images/pinned.svg HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:49 +0530] "GET /ToDoProject/images/archive.svg HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:49 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:49 +0530] "GET /ToDoProject/images/list1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:49 +0530] "GET /ToDoProject/images/unpinned.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:49 +0530] "GET /ToDoProject/images/gridlist.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:49 +0530] "GET /ToDoProject/images/profile.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:49 +0530] "GET /ToDoProject/images/more.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:26:49 +0530] "GET /ToDoProject/images/colorpallet.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:13 +0530] "POST /ToDoProject/user/saveNote HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:13 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:28 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:28 +0530] "POST /ToDoProject/emptyTrash/100 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:28 +0530] "GET /ToDoProject/htmlpages/trash.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:28 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:28 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:34 +0530] "DELETE /ToDoProject/user/deleteNote/91 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:40 +0530] "DELETE /ToDoProject/user/deleteNote/91 HTTP/1.1" 500 5721
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:42 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:43 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:50 +0530] "DELETE /ToDoProject/user/deleteNote/100 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:52 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:53 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:27:55 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:28:08 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:28:10 +0530] "GET /ToDoProject/htmlpages/archive.html HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:28:10 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [12/Dec/2017:09:28:15 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/services/loginService.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/controller/registerController.js HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 200 3476
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:10:56 +0530] "GET /ToDoProject/css/TopNavBar.css HTTP/1.1" 200 1042
